# FMA ↔ UBERON bridge — GENERATED, do not edit by hand.
#
# Rebuild:  node scripts/build-fma-uberon-bridge.mjs
#
# Every row comes from UBERON's OWN published cross-references, read from the
# EBI OLS4 API — the same route the MOOSE and TCIA crosswalks in this directory
# were built by. Nothing here is hand-authored: this project has no standing to
# assert an equivalence between two vocabularies it does not maintain.
#
# ⚠️ AN XREF IS NOT PROOF OF EXACT EQUIVALENCE. `confidence` is `ambiguous` where
# UBERON lists MORE THAN ONE FMA term for the same concept, which is a one-to-many
# correspondence rather than an identity. Do not collapse those to the first id —
# a wrong ontology id hides the wrong structure, which is worse than hiding none.
#
# `in_repo` is the subset of `fma` that some asset or crosswalk here actually uses.
# An empty `in_repo` is a valid bridge to anatomy this repository does not hold.
#
# 153 UBERON ids queried, 143 carry an FMA xref, 89 join to geometry here.
# `via` is how the join was made. `direct` means UBERON's own xref id is used
# by an asset here. `fma-child` means it is not, and the ids in `in_repo` are the
# SIDED FMA terms found by descending FMA's is_a hierarchy from that xref —
# `tibia` FMA:24476 has children FMA:24477 right and FMA:24478 left, which is what
# the atlases actually use. Both are authoritative; neither is a name match.
uberon	label	fma	confidence	via	in_repo
UBERON:0004630	thoracic vertebra 5	FMA:9922	single	direct	FMA:9922
UBERON:0004631	thoracic vertebra 6	FMA:9945	single	direct	FMA:9945
UBERON:0004632	thoracic vertebra 7	FMA:9968	single	direct	FMA:9968
UBERON:0004633	thoracic vertebra 9	FMA:10014	single	direct	FMA:10014
UBERON:0004634	thoracic vertebra 10	FMA:10037	single	direct	FMA:10037
UBERON:0004635	thoracic vertebra 11	FMA:10059	single	direct	FMA:10059
UBERON:0004636	thoracic vertebra 12	FMA:10081	single	direct	FMA:10081
UBERON:0004887	left lung hilus	FMA:9751	single	none	
UBERON:0004913	hepatopancreatic ampulla	FMA:15076	single	none	
UBERON:0005429	dorsal pancreatic duct	FMA:14534	single	direct	FMA:14534
UBERON:0005457	left thymus lobe	FMA:71195	single	direct	FMA:71195
UBERON:0006082	fundus of urinary bladder	FMA:15908	single	none	
UBERON:0006469	C1 segment of cervical spinal cord	FMA:71179	single	none	
UBERON:0006849	scapula	FMA:13394	single	fma-child	FMA:13395|FMA:13396
UBERON:0007265	intervertebral disk of axis	FMA:25058	single	direct	FMA:25058
UBERON:0008255	right clavicle	FMA:13322	single	direct	FMA:13322
UBERON:0008256	left clavicle	FMA:13323	single	direct	FMA:13323
UBERON:0008521	gluteus minimus	FMA:22317	single	fma-child	FMA:22332|FMA:22333
UBERON:0008952	upper lobe of left lung	FMA:7370	single	none	
UBERON:0008953	lower lobe of left lung	FMA:7371	single	none	
UBERON:0010757	rib 8	FMA:8120	single	fma-child	FMA:8283|FMA:8310
UBERON:0010927	thyroepiglotticus muscle	FMA:46594	single	none	
UBERON:0011050	thoracic vertebra 8	FMA:9991	single	direct	FMA:9991
UBERON:0022277	hepatic flexure of colon	FMA:14550	single	none	
UBERON:0035322	right common iliac artery	FMA:14765	single	none	
UBERON:0035529	left common iliac artery	FMA:14766	single	none	
